,id_guest,id_host,id_listing,ts_contact_at,ts_reply_at,ts_accepted_at,ts_booking_at,ds_checkin,ds_checkout,n_guests,n_messages
0,86b39b70-965b-479d-a0b0-719b195acea2,1dfb22ec-c20e-4bf9-b161-1607afa25c5a,d668de42-122a-45cd-b91f-91a70895f902,2014-04-18 09:32:23,2014-04-18 09:39:06,,,2014-12-31 00:00:00,2015-01-02 00:00:00,7,5
1,14f943bb-74e9-458b-be55-203dc7220688,3347390d-8670-4870-9dab-da30f3700141,14c47fb8-e831-4044-9674-9b3fd0499193,2014-10-06 06:55:45,2014-10-06 10:06:38,2014-10-06 10:06:38,2014-10-06 10:06:38,2014-11-03 00:00:00,2014-11-07 00:00:00,2,8
2,425aa1ed-82ab-4ecf-b62f-d61e1848706d,02cafb86-5445-45cc-80f2-405291578356,c5a4a913-a094-4a9d-82e2-0b2d4f9d9eeb,2014-10-04 05:02:39,2014-10-04 23:10:01,,,2014-11-02 00:00:00,2014-11-09 00:00:00,2,2
3,bb490ede-8a70-4d61-a2e8-625855a393e2,f49c3095-58de-4b8d-9d5b-3bfceceb47d8,27f4b429-d544-464f-b4b5-3c09fd5992e7,2014-08-31 11:46:11,2014-08-31 16:48:28,,,2014-11-03 00:00:00,2014-11-07 00:00:00,2,5
4,b2fda15a-89bb-4e6e-ae81-8b21598e2482,71f1d49e-2ff4-4d72-b8e6-fd4c67feaa74,95fb78ca-8e6e-436a-9830-949d995ad14f,2014-10-08 15:07:56,2014-10-08 15:32:12,2014-10-08 15:32:12,2014-10-08 22:21:41,2014-11-06 00:00:00,2014-11-09 00:00:00,2,10
5,b8831610-31f2-4c58-8ada-63b3601ca476,bdd8a691-31e2-48d8-b526-6a75a4363b89,9633168d-9834-4887-af97-6af7db1d96ab,2014-10-14 04:05:14,2014-10-14 08:48:41,2014-10-14 08:48:41,,2014-11-07 00:00:00,2014-11-29 00:00:00,2,17
6,136c10f8-af53-4e5a-a5b3-d9c9c495b166,6dc86890-53d7-4d06-b767-5e117762d76b,2e6adb00-a660-465e-a85e-c8e341a5fb2f,2014-12-06 20:24:54,2014-12-06 20:49:00,2014-12-06 20:51:56,2014-12-06 20:51:56,2014-12-12 00:00:00,2014-12-14 00:00:00,2,13
7,9a45a950-b4f7-4f16-abe6-f9286abf2641,beeab7c3-ab4e-45d7-bde9-978de0fd8d57,c318d3e3-b36e-43b8-9b0c-3400cbca3895,2014-10-11 21:15:30,2014-10-12 09:17:14,,,2014-10-24 00:00:00,2014-10-27 00:00:00,1,3
8,1759c05e-f12a-4eaa-8059-3bcaca443c88,200a661e-2758-45e9-8bcc-42e32342e6bd,e465ef3d-3c26-4c46-b515-4b24d10bcdf8,2014-10-31 12:40:58,2014-10-31 12:55:50,,,2014-10-31 00:00:00,2014-11-02 00:00:00,2,3
9,126ed661-fa20-4041-ac16-ec118bbcce3b,a33e4240-6a0c-47b4-b866-45f9b5952c18,2d77af55-7f10-41d6-93da-383cf59082b6,2014-10-03 12:02:49,2014-10-03 12:05:25,,,2014-10-25 00:00:00,2014-10-29 00:00:00,4,2
10,924f864f-db83-4945-9a65-cf42a657ca68,7c0b097b-ea7c-4ea2-967a-8fe38fce6e95,f63e28a2-0f72-4b3e-8b5c-46284455ff9a,2014-10-21 20:57:44,2014-10-21 21:12:25,2014-10-23 21:04:47,,2014-11-09 00:00:00,2014-11-15 00:00:00,3,4
11,bd8f3dd6-fecc-479a-a88f-1d0049600e9f,d73772a8-efa3-445c-b9c2-0498fea9815f,5236a962-7989-4563-9d86-b3c5e5af4d6a,2014-10-09 07:46:25,2014-10-09 08:04:13,2014-10-09 08:04:13,2014-10-09 09:30:18,2014-10-10 00:00:00,2014-10-12 00:00:00,2,10
12,679d857b-08b8-4748-b703-86735aa42296,d7789520-e8d7-498b-88c4-e997da9b208c,7d051fe3-84d3-4234-a4cc-1f278f6bb068,2014-10-11 10:37:00,2014-10-11 22:30:00,,,2014-11-03 00:00:00,2014-11-06 00:00:00,2,4
13,673af82f-6a4d-4fd5-8485-4459670da9bc,fbab6ead-973c-4d1a-937c-0413c7d24fe7,c0a416ea-4260-409b-99e1-d2788d7e6308,2014-10-06 15:15:36,2014-10-06 15:32:51,2014-10-06 15:33:58,2014-10-06 15:33:58,2014-11-02 00:00:00,2014-11-06 00:00:00,1,7
14,b8285e97-9f11-4aec-bb05-e21f612ee41f,368e3d3c-1870-434e-99df-ff446daeecfa,50c63bda-8be1-4afa-96d0-91b0f277a9ac,2014-10-01 09:43:32,2014-10-01 23:55:30,,,2014-10-03 00:00:00,2014-10-05 00:00:00,2,3
15,6cbb33d1-6ecc-4f74-8b6a-a43d07d484b6,2b83ac1b-735f-41a6-ab9b-38bba7726051,fa2c5f7e-4139-4a63-91f7-49422e0d6c03,2014-10-01 15:43:25,2014-10-02 08:22:22,,,2014-10-04 00:00:00,2014-10-07 00:00:00,3,4
16,8375dde4-0de9-402c-8833-2127c1504601,a33e4240-6a0c-47b4-b866-45f9b5952c18,6cd0a8f1-396f-4d52-bc10-954f6c173dd0,2014-10-06 06:00:34,2014-10-06 17:38:57,,,2014-10-11 00:00:00,2014-10-12 00:00:00,1,7
17,a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,0a62668d-ade2-4bf9-8b36-93923456378a,f8323e26-3c34-4034-a651-e54fbc45804b,2014-08-09 09:47:01,2014-08-09 19:26:25,,,2015-03-15 00:00:00,2015-03-18 00:00:00,4,4
18,bdaf2e68-86dd-40d9-a5a1-9cc95ea25d91,39436382-00ef-46ef-9768-1e611ae62857,98076842-d35e-4e94-a8e7-3440e31c7f8b,2014-10-12 09:14:35,2014-10-12 09:21:19,2014-10-12 09:21:24,2014-10-12 10:11:00,2014-10-16 00:00:00,2014-10-19 00:00:00,1,16
19,fad1a097-a511-4f44-a603-6a271c1f159e,66de508e-271c-4e97-8fc7-fa8d9ecf5018,b2601e35-4b68-4dfb-8669-256268ecd5a2,2014-10-04 18:58:12,2014-10-05 09:49:56,2014-10-05 09:49:56,2014-10-05 11:21:05,2014-10-05 00:00:00,2014-10-06 00:00:00,2,6
20,0a8e121b-c09c-4de1-abcc-81bce87de29e,becd48ad-623e-4821-9538-e9d8f84f1cac,dbf20ee5-e592-4659-a651-f05c10771c12,2014-10-13 21:07:44,2014-10-13 21:12:25,,,2014-12-19 00:00:00,2014-12-20 00:00:00,2,2
21,3e6c2466-74fe-44c0-a6f3-dda79755d30a,d5bf9afd-9572-4f60-955e-02706cc7130a,9005ae0c-4117-4cd8-b528-565cf891e4a6,2014-10-09 21:43:41,2014-10-10 00:03:18,,,2015-02-26 00:00:00,2015-03-03 00:00:00,4,5
22,845e3c1d-6c06-4ef2-ade5-7eecefb56fbe,eeaa1426-9aa2-4aac-850a-5fff4c677003,ac403a7c-10a9-4ef5-a828-98916195295f,2014-10-10 14:24:38,2014-10-10 17:15:02,2014-10-10 17:15:02,,2014-10-24 00:00:00,2014-10-30 00:00:00,1,9
23,598f8459-96f6-4400-8bce-1474757dd589,b441cc5d-0e8c-40b9-87a8-ae22ac8bbbd0,6b329786-9ff6-487e-bdca-fcedf5d4979f,2014-10-03 14:42:31,2014-10-03 14:47:51,,,2015-03-12 00:00:00,2015-03-19 00:00:00,2,3
24,ea445eea-3fac-4edd-b1d6-569f57f6abe4,64c5fd69-6246-49b7-a6a2-2b0b2ee06861,df45861e-a23b-427e-8bd3-cca7db90af02,2014-10-13 09:44:31,,,,2014-10-24 00:00:00,2014-10-27 00:00:00,4,1
25,e8e41881-d3bf-4f1e-b55e-6052eae23ef6,0e21af37-499c-499c-b5ab-c15d031ec152,fa7e4beb-d2f4-41d5-aa4d-f426652a3cfd,2014-10-15 13:04:35,2014-10-16 10:24:51,,,2014-12-30 00:00:00,2015-01-09 00:00:00,6,3
26,6133fb99-2391-4d4b-a077-bae40581f925,95234c4d-2aed-4e19-bb81-980d4fb38d58,4b836492-d214-4108-b7dd-f96c815920f0,2014-10-06 21:29:16,2014-10-06 21:37:13,2014-10-07 02:38:51,2014-10-07 02:38:51,2014-10-31 00:00:00,2014-11-03 00:00:00,2,16
27,c0075f4f-0cb0-489b-9f12-bf1dff573488,356e59fd-45d1-483b-ae8c-df4b7cd43fbd,79313e9e-371a-4c27-92ed-f2104e7ba9eb,2014-09-26 13:27:45,2014-09-26 17:27:41,,,2014-10-03 00:00:00,2014-10-04 00:00:00,4,3
28,02f0a750-34da-4268-94e8-f1a371f0460e,beeab7c3-ab4e-45d7-bde9-978de0fd8d57,c318d3e3-b36e-43b8-9b0c-3400cbca3895,2014-10-08 14:03:00,2014-10-08 15:12:38,2014-10-09 07:53:14,,2014-11-11 00:00:00,2014-11-19 00:00:00,2,4
29,94139517-e7e9-4afb-8b5d-bb6f306bf751,8d31dbce-fc8e-4c25-9f9b-758684a5941d,90d312e0-86a1-46b1-bb65-52eef939ca1f,2014-10-10 10:59:43,2014-10-10 11:03:07,2014-10-10 11:53:19,2014-10-10 11:53:19,2014-10-17 00:00:00,2014-10-19 00:00:00,2,15
30,d61d88ae-7910-4832-8116-aab4603ab3b0,a84fd08c-8bda-45d6-af26-033408ddbafc,78775b1b-3040-4505-b0c8-e7aadc91e82f,2014-10-08 19:28:36,2014-10-08 19:33:52,2014-10-08 19:33:54,,2014-11-13 00:00:00,2014-11-18 00:00:00,4,5
31,0f4ea370-702c-4f08-a00d-98e67c2a3574,5ccbd667-e9e4-4c34-839e-fb438d797925,547d204f-631f-4adc-b163-43dbc5850438,2014-10-04 20:48:37,2014-10-05 10:52:25,2014-10-05 10:52:25,2014-10-05 11:47:38,2014-10-10 00:00:00,2014-10-13 00:00:00,6,4
32,4de8c8ea-728a-467a-aa69-4800e8880c95,8aa37f14-6862-431e-8c39-5b8bac54c0ab,cc37c3f3-78a6-4336-9fda-25911dfee592,2014-10-08 12:45:09,2014-10-08 17:24:30,2014-10-08 17:24:30,,2014-11-25 00:00:00,2015-01-19 00:00:00,2,2
33,91c2a883-04e3-4bbb-a7bb-620531318ab1,b58d6d66-ae95-46df-8aa4-85f4577cff5d,f3dc4c11-2283-4deb-b8f2-f2808b0a50b3,2014-10-12 08:34:00,2014-10-12 08:42:42,2014-10-12 08:42:42,2014-10-12 11:58:54,2014-12-26 00:00:00,2014-12-29 00:00:00,4,17
34,ebe81cf8-6037-43f2-81d2-fd386f5da74f,2d4515a5-8839-4898-b6a0-c443ac5ea688,e84f2eee-c61c-428a-8f73-2bf4c0d16fcb,2014-10-06 20:49:18,2014-10-06 20:57:05,,,2014-10-10 00:00:00,2014-10-13 00:00:00,3,3
35,2889fccc-37ab-4a66-8d64-41b31314c7fc,a91caa70-830c-43d7-b265-886664c2b4c3,56642738-e6a0-47b3-8777-a363109df22f,2014-10-08 22:16:52,2014-10-09 10:10:59,2014-10-09 10:10:59,2014-10-09 11:16:40,2014-10-31 00:00:00,2014-11-03 00:00:00,2,5
36,6c541a87-d864-4de8-ae05-70ae57b50976,b881e451-c805-4363-8eaa-597dd0ffde31,42cd81d5-a79a-44f1-8303-10ed1679e8a3,2014-10-03 18:25:01,2014-10-03 18:40:04,2014-10-03 18:42:57,2014-10-03 18:42:57,2014-10-16 00:00:00,2014-10-22 00:00:00,1,13
37,eb3500c2-b0b9-4753-8ab3-3fad4d5777f1,86b39b70-965b-479d-a0b0-719b195acea2,3f005d10-34a4-4e97-9d70-8b4ba29a5241,2014-10-14 22:40:11,2014-10-15 22:22:49,,,2014-11-08 00:00:00,2014-11-09 00:00:00,5,2
38,d418a1ab-b181-40a7-90fe-7216e40dc354,4d90d993-7ce5-4df3-9df9-a81f3a46a1d4,2a3b9159-28d4-475d-81b1-4500b292b9dd,2014-08-27 16:39:30,2014-08-27 22:31:20,2014-08-27 22:31:20,2014-08-28 17:33:01,2014-10-22 00:00:00,2014-10-28 00:00:00,2,8
39,ffc234be-ca13-4bcb-a472-1c136b800891,ab4811a4-39a6-43ec-95dd-03253825fa4b,34e2543c-7f95-4fd1-b534-a178403a3942,2014-10-08 19:21:42,2014-10-09 06:03:33,,,2014-10-09 00:00:00,2014-10-17 00:00:00,1,3
40,5c4b64d5-4869-4a02-b36c-c451758559e0,71874f06-e0be-4da5-ac2c-0dc6560785f3,4d50ecc0-6474-432f-954f-4a4273dc67ce,2014-10-14 09:53:38,2014-10-14 10:00:42,,,2014-11-27 00:00:00,2014-11-30 00:00:00,2,6
41,a09bf912-b21d-4859-b194-8512c30695f6,64facbb7-f52c-4794-a666-76b5b00a816f,653b5372-0a5c-4aa6-8959-17a7e4f06206,2014-10-12 22:56:36,2014-10-13 05:44:08,,,2014-10-18 00:00:00,2014-10-22 00:00:00,1,4
42,8af13d02-bd2c-40fd-afd7-e4fe3a6a622e,05c39598-4a49-4bb6-96ed-ed8007108aa1,45b001f4-3593-4b25-aed3-896e8e78fdd3,2014-10-03 09:46:04,2014-10-03 10:11:52,,,2014-11-07 00:00:00,2014-11-12 00:00:00,2,6
43,996d1871-8986-481b-8bbf-1a1420c68c90,bcdf2edf-7745-4c10-9057-0fef65784fcb,1ece748f-de7c-4aa5-ab46-fce8024b7759,2014-11-11 21:28:49,2014-11-12 01:10:18,,,2015-03-12 00:00:00,2015-03-19 00:00:00,4,2
44,9b145027-2723-4c5f-988c-b5118c899912,0c02268a-c84e-4a0f-904b-7cf61dcd208d,619e2ded-b985-4130-a3d1-f840170ebc27,2014-10-06 14:06:07,2014-10-06 16:47:43,2014-10-06 16:47:43,2014-10-18 10:54:58,2014-12-04 00:00:00,2014-12-08 00:00:00,2,15
45,f1877c99-430e-41e1-818a-713ff82f09da,7019fd3f-e1e8-47fe-b0ea-91a1dae98cf8,6bdfbdc2-0a6d-47e4-bd2e-ca7dfa59a40d,2014-11-02 15:49:56,2014-11-02 15:54:39,2014-11-02 15:54:39,,2014-11-20 00:00:00,2014-11-24 00:00:00,2,3
46,29ef2346-5fda-45d7-b4ed-eb34967a62b3,4d90d993-7ce5-4df3-9df9-a81f3a46a1d4,2a3b9159-28d4-475d-81b1-4500b292b9dd,2014-10-03 19:42:06,2014-10-03 20:24:14,2014-10-03 20:24:19,2014-10-06 16:38:43,2014-11-08 00:00:00,2014-11-10 00:00:00,2,9
47,8d23aa41-c77c-4bbe-98bc-66abecfefbfe,f86bc9ab-e199-4254-8609-fd67d6aaed42,28caf371-6d1d-4e06-aaf1-e660966ac7a1,2014-10-08 18:41:44,2014-10-08 19:11:56,,,2014-11-03 00:00:00,2014-11-07 00:00:00,1,5
