user_id_sender,user_id_receiver,date,action
ad4943sdz,948ksx123d,2020-01-04,sent
ad4943sdz,948ksx123d,2020-01-06,accepted
dfdfxf9483,9djjjd9283,2020-01-04,sent
dfdfxf9483,9djjjd9283,2020-01-15,accepted
ffdfff4234234,lpjzjdi4949,2020-01-06,sent
fffkfld9499,993lsldidif,2020-01-06,sent
fffkfld9499,993lsldidif,2020-01-10,accepted
fg503kdsdd,ofp049dkd,2020-01-04,sent
fg503kdsdd,ofp049dkd,2020-01-10,accepted
hh643dfert,847jfkf203,2020-01-04,sent
r4gfgf2344,234ddr4545,2020-01-06,sent
r4gfgf2344,234ddr4545,2020-01-11,accepted